,0,1,2,3,4,5,6
0,ACKR1,FCN3,RGCC,TFF3,HPGD,GJA5,HCST
1,CLU,IL7R,SPARC,CCL21,ITM2B,CTNNAL1,CYBA
2,C7,TNFSF10,COL4A1,HSPB1,EDNRB,IGFBP3,CD52
3,CPE,EPAS1,CD34,ANXA2,HLA-E,CLEC14A,RAC2
4,VWF,B2M,A2M,GYPC,S100A6,ARGLU1,S100A4
5,IGFBP7,TMEM100,PLVAP,MMRN1,B2M,CXCL12,SH3BGRL3
6,NNMT,RNASE1,SPARCL1,FABP4,EMP2,SRGN,RPL28
7,PRSS23,HLA-C,PTMA,NRP2,S100A4,DKK2,LAPTM5
8,RPLP1,IFI27,ENPP2,PPFIBP1,RAMP2,F2R,PTPRC
9,RPS6,HLA-E,RDX,CD9,HLA-C,IL33,CD37
10,NPC2,HLA-B,CD93,IGFBP7,MALAT1,MGP,MT-CO1
11,RPS18,SLC6A4,COL4A2,PROX1,SOSTDC1,ID1,LITAF
12,DUSP23,HLA-A,ACTG1,SNCG,HLA-B,LTBP4,ITGB2
13,HSPG2,HLA-DPA1,FAM101B,PDPN,AQP1,ENPP2,GPSM3
14,RPL26,RAMP3,CCDC85B,RPL13A,CA4,ID2,CORO1A
15,MGP,HLA-DRB1,VWA1,AKAP12,IL1RL1,SERPINE2,TYROBP
16,CCL14,CD74,MGP,RGS16,ADIRF,TFPI,CD53
17,RPS23,HLA-DRA,IGFBP2,SLC25A6,EMCN,KCTD12,CD44
18,SELP,BST2,RPL23,TFPI,ICAM2,PTPRB,RPS27
19,RPL12,CAV1,H3F3A,PPP1R2,HLA-A,EFNB2,LSP1
20,RPS19,CLEC14A,ARHGAP18,STMN1,APP,TMEM100,RPS29
21,FAM167B,GBP4,TSC22D1,TSPAN5,CD74,SSTR1,SRGN
22,TMSB4X,TXNIP,SOX4,HEBP1,IL32,LINC00551,CD48
23,PLAT,RDX,UACA,LAPTM5,ESAM,DUSP1,PFN1
24,RPL32,IFITM3,MCAM,SHC1,IFI27,NPR3,ALOX5AP
25,RPL34,GIMAP7,ARHGDIB,CST3,ANXA1,FAM107A,RPS16
26,PRCP,RGCC,HSPG2,RPS2,TUBA1A,EPAS1,RPL27A
27,RPS3A,C8orf4,CLEC14A,EFEMP1,ACE,ABI3BP,MT-CO2
28,RPS14,CA4,ACTN4,ATP5E,SLC9A3R2,RNASE1,CXCR4
29,RPL7,ADGRF5,INSR,RARRES2,LAPTM4A,IFITM3,UBA52
30,RPS9,ARHGAP18,RPLP1,ARL4A,CAV1,JAM2,RNASET2
31,TIMP1,GPIHBP1,GJA1,FABP5,PRX,MECOM,RPLP1
32,IL1R1,UBB,CYYR1,RPL41,EGFL7,TSPAN7,CTSS
33,RPL31,ITM2B,SERPINH1,NNMT,TBX2,BST2,FCER1G
34,RPS8,RAMP2,BCAM,FXYD6,GNG11,LRRC32,EMP3
35,RGS5,RALA,RGS3,NR2F1,TSPAN12,LDB2,LCP1
36,ACTN1,ENG,ADGRL4,RPL15,ITM2A,ARC,EVL
37,NDRG1,CAV2,TPT1,LIMS1,HLA-DRA,PALMD,ARPC2
38,RPS28,BTNL9,RPS24,RPL7,SH3BP5,ID3,DOK2
39,NR2F2,HLA-DRB5,ETS1,POLR2L,SPARC,FBLN5,CST7
40,RPL13,NOSTRIN,FAM198B,ARID5B,FRY,FOS,MYO1F
41,RPS24,PTPRB,DPYSL3,PTPRE,BST2,NRN1,CCL5
42,RPS15A,ARHGAP29,CALM1,RPL10,ARHGAP29,JUNB,CTSC
43,ADGRG6,HLA-DPB1,ACE,CNN3,IFNGR1,SOX17,CD7
44,RPL41,TIMP3,PTP4A3,IGF1,CYP3A5,EDN1,IL2RG
45,TINAGL1,VAMP5,ESAM,LMNA,CAV2,LEPR,RPS19
46,ZNF385D,CALCRL,MLEC,RPS4X,FENDRR,HEY1,EVI2B
47,RPS13,WARS,NFIB,RPL13,ITGA3,SMAD6,PABPC1
48,GSN,SPARC,FLT1,FAM213A,LGALS1,HES4,NKG7
49,RPL11,CD93,GPIHBP1,RPL8,S100A3,SRP14,CRIP1
